nev	pontok	   nyert?
viktor    4         nem       
kata      2         nem       
a         5         igen
kakaoscsi 5         igen
szlacs    5         igen
máté      5         igen      
vad       3         nem           
patak     5         igen
csigusz   0         nem       
patakki   2         nem       
pepsi     5         igen      
cocacola  3         nem       
Viktor    2         nem       
Viktor    5         igen      
tuckeksz  1         nem       
a9234asd  0         nem       
oldspice  5         igen      
kapa      2         nem       
mizseviz  2         nem       
bocicsoki 2         nem       
as9sed2   1         nem       
